,Product Name in flipkart,Retail Price (FK),Discounted Price (FK),Product name in Amazon,Retail Price (AMZ),Discounted Price (AMZ)
40,nuride canvas shoes,1999.0,1349.0,nuride canvas shoes,1990,1625
41,om shivakriti square wall clock showpiece  -  38.1 cm,1499.0,1499.0,om shivakriti square wall clock showpiece  -  38.1 cm,1480,1786
42,himmlisch st381 magnetic sun shade for maruti alto,6999.0,1899.0,himmlisch st381 magnetic sun shade for maruti alto,6990,2313
43,rapter bnc-179 bnc wire connector,2299.0,1400.0,rapter bnc-179 bnc wire connector,2279,1582
44,vishudh printed women's straight kurta,999.0,499.0,vishudh printed women's straight kurta,888,554
45,vishudh printed women's straight kurta,899.0,449.0,vishudh printed women's straight kurta,888,554
46,vishudh printed women's anarkali kurta,2099.0,1049.0,vishudh printed women's anarkali kurta,2089,1161
47,buildtrack pir wireless motion sensor - one switch control wireless sensor security system,6500.0,5000.0,buildtrack pir wireless motion sensor - one switch control wireless sensor security system,6482,6153
48,skayvon summersible single phase pump controller wired sensor security system,9990.0,4990.0,skayvon summersible single phase pump controller wired sensor security system,9972,6022
49,masara solid women's straight kurta,1399.0,599.0,masara solid women's straight kurta,1396,686
50,vishudh printed women's straight kurta,899.0,449.0,vishudh printed women's straight kurta,888,554
51,rapter bnc-047 bnc wire connector,1299.0,899.0,rapter bnc-047 bnc wire connector,1288,1023
52,skayvon submersibble three phase pump controller wired sensor security system,8999.0,4990.0,skayvon submersibble three phase pump controller wired sensor security system,8979,5877
53,vishudh printed women's straight kurta,899.0,449.0,vishudh printed women's straight kurta,888,554
54,behringer xenyx 502 analog sound mixer,10000.0,6600.0,behringer xenyx 502 analog sound mixer,9984,7854
55,vishudh printed women's straight kurta,899.0,449.0,vishudh printed women's straight kurta,888,554
56,vishudh printed women's straight kurta,899.0,449.0,vishudh printed women's straight kurta,888,554
57,masara solid women's straight kurta,1399.0,599.0,masara solid women's straight kurta,1396,686
58,masara solid women's straight kurta,1399.0,550.0,masara solid women's straight kurta,1396,686
59,roadster men's zipper solid cardigan,1399.0,699.0,roadster men's zipper solid cardigan,1380,887
60,vishudh printed women's straight kurta,999.0,499.0,vishudh printed women's straight kurta,888,554
61,noor embroidered women's straight kurta,1649.0,849.0,noor embroidered women's straight kurta,1639,1041
62,masara solid women's straight kurta,1399.0,599.0,masara solid women's straight kurta,1396,686
63,vishudh printed women's straight kurta,899.0,449.0,vishudh printed women's straight kurta,888,554
64,libas printed women's a-line kurta,899.0,449.0,libas printed women's a-line kurta,887,570
65,libas printed women's anarkali kurta,1849.0,924.0,libas printed women's anarkali kurta,1831,1142
66,masara solid women's straight kurta,999.0,499.0,masara solid women's straight kurta,1396,686
67,hrs ultimate boy chest pads,440.0,395.0,hrs ultimate boy chest pads,427,491
68,vermello men casual brown genuine leather belt,1495.0,795.0,vermello men casual brown genuine leather belt,1488,918
69,hrs club boy thigh pads,280.0,250.0,hrs club boy thigh pads,273,298
70,ligans ny men formal black genuine leather belt,795.0,695.0,ligans ny men formal black genuine leather belt,794,868
71,elegance polyester multicolor abstract eyelet door curtain,1899.0,899.0,elegance polyester multicolor abstract eyelet door curtain,1898,1145
72,liza women wedges,1990.0,1393.0,liza women wedges,1777,1352
73,hrs ultimate boy elbow pads,250.0,230.0,hrs ultimate boy elbow pads,236,279
74,sathiyas cotton bath towel,600.0,449.0,sathiyas cotton bath towel,582,568
75,hrs ultimate men chest pads,440.0,395.0,hrs ultimate men chest pads,435,474
76,eurospa cotton terry face towel set,,,eurospa cotton terry face towel set,-15,0
77,santosh royal fashion cotton printed king sized double bedsheet,2699.0,1299.0,santosh royal fashion cotton printed king sized double bedsheet,2695,1570
78,casedeal microsoft nokia lumia x2 back panel,1999.0,380.0,casedeal microsoft nokia lumia x2 back panel,1989,472
79,mario gotze women's printed casual orange shirt,1499.0,899.0,mario gotze women's printed casual orange shirt,1486,1162
80,jaipur print cotton floral king sized double bedsheet,2599.0,698.0,jaipur print cotton floral king sized double bedsheet,2589,806
81,shilpi nhscn003 coin bank,900.0,650.0,shilpi nhscn003 coin bank,880,787
82,jaipur print cotton floral king sized double bedsheet,2599.0,698.0,jaipur print cotton floral king sized double bedsheet,2589,806
83,babeezworld dungaree baby boy's  combo,999.0,499.0,babeezworld dungaree baby boy's  combo,997,565
84,redbag eight armed goddess sherawali maa showpiece  -  10.8 cm,1600.0,1200.0,redbag eight armed goddess sherawali maa showpiece  -  10.8 cm,1590,1487
85,"proence weight gainers, mass gainers",1025.0,949.0,"proence weight gainers, mass gainers",1010,1107
86,discountgod men's checkered casual shirt,750.0,590.0,discountgod men's checkered casual shirt,732,662
87,silver streak men's printed casual denim shirt,1299.0,599.0,silver streak men's printed casual denim shirt,1298,713
88,"cobra paris co6394a1 analog watch  - for men, boys",18995.0,15195.0,"cobra paris co6394a1 analog watch  - for men, boys",18981,16829
89,ten ten women's black knee length boots boots,4995.0,1995.0,ten ten women's black knee length boots boots,4986,2581
90,"aries gold g 729 s-bk analog watch  - for men, boys",13699.0,13099.0,"aries gold g 729 s-bk analog watch  - for men, boys",13682,16407
91,carlton boots,3495.0,1223.0,carlton boots,3484,1379
92,maserati time r8851116001 analog watch  - for boys,24400.0,24400.0,maserati time r8851116001 analog watch  - for boys,24393,30971
93,"vizion 8503b-1red cold light digital watch  - for boys, girls",1095.0,595.0,"vizion 8503b-1red cold light digital watch  - for boys, girls",1087,769
94,"camerii wm64 elegance analog watch  - for men, boys",1099.0,449.0,"camerii wm64 elegance analog watch  - for men, boys",1088,561
95,reckler slim fit men's jeans,5398.0,2599.0,reckler slim fit men's jeans,5383,3179
96,quechua arpenaz novadry boots,2499.0,2250.0,quechua arpenaz novadry boots,2481,2748
97,"colat colat_mw20 sheen analog watch  - for men, women, boys, girls",3999.0,849.0,"colat colat_mw20 sheen analog watch  - for men, women, boys, girls",3990,983
98,steppings trendy boots,1799.0,719.0,steppings trendy boots,3484,2367
99,rochees rw38 analog watch  - for boys,1415.0,1202.0,rochees rw38 analog watch  - for boys,1414,1357
100,"rorlig rr-028 expedition analog watch  - for men, boys",1099.0,399.0,"rorlig rr-028 expedition analog watch  - for men, boys",1084,468
101,catwalk boots,2095.0,999.0,catwalk boots,2079,1256
102,magnum footwear lifestyle,3999.0,2099.0,magnum footwear lifestyle,3982,2586
103,t star uft-tsw-005-bk-br analog watch  - for boys,999.0,399.0,t star uft-tsw-005-bk-br analog watch  - for boys,990,469
104,rialto boots,3295.0,2795.0,rialto boots,2786,2165
105,kielz ladies boots,2499.0,1249.0,kielz ladies boots,2787,1637
106,"alfajr wy16b youth digital watch  - for men, boys",5495.0,4995.0,"alfajr wy16b youth digital watch  - for men, boys",5476,5916
107,la briza ashley boots,2299.0,2299.0,la briza ashley boots,2296,2840
108,"tag heuer cau1116.ba0858 formula 1 analog watch  - for boys, men",107750.0,107750.0,"tag heuer cau1116.ba0858 formula 1 analog watch  - for boys, men",107737,137323
109,salt n pepper 13-019 femme black boots boots,4195.0,3146.0,salt n pepper 13-019 femme black boots boots,4176,3857
110,shuz touch boots,1499.0,1270.0,shuz touch boots,1484,1448
111,wrangler skanders fit men's jeans,2795.0,1817.0,wrangler skanders fit men's jeans,2785,2254
112,steppings trendy boots,3199.0,1919.0,steppings trendy boots,3484,2367
113,salt n pepper 14-664 denny black boots boots,4295.0,3221.0,salt n pepper 14-664 denny black boots boots,4283,3869
114,"costa swiss cs-2001 analog watch  - for boys, men",1199.0,429.0,"costa swiss cs-2001 analog watch  - for boys, men",1189,513
115,crocs boots,3995.0,3995.0,crocs boots,3977,4845
116,"breitling ab011010/bb08 131s chronomat 44 analog watch  - for boys, men",571230.0,571230.0,"breitling ab011010/bb08 131s chronomat 44 analog watch  - for boys, men",571223,726879
117,lyc white casual boots,1199.0,899.0,lyc white casual boots,1195,1025
118,myra comfortable boots,1049.0,499.0,myra comfortable boots,1038,573
119,"calibro sw-125 analog-digital watch  - for men, boys",2000.0,699.0,"calibro sw-125 analog-digital watch  - for men, boys",1991,896
120,get glamr designer uggy boots,3499.0,2799.0,get glamr designer uggy boots,3487,3180
121,kielz ladies boots,2299.0,899.0,kielz ladies boots,2787,1637
122,kielz ladies boots,1999.0,999.0,kielz ladies boots,2787,1637
123,rochees rw50 analog watch  - for boys,1120.0,952.0,rochees rw50 analog watch  - for boys,1110,1225
124,kielz ladies boots,2799.0,1299.0,kielz ladies boots,2787,1637
125,salt n pepper 13-516 greta red boots,3495.0,2621.0,salt n pepper 13-516 greta red boots,3475,3380
126,fluid dmf-002-gr01 digital watch  - for boys,1699.0,849.0,fluid dmf-002-gr01 digital watch  - for boys,1682,1026
127,steppings trendy boots,1599.0,639.0,steppings trendy boots,3484,2367
128,rialto boots,3295.0,2395.0,rialto boots,2786,2165
129,"rorlig rr-030 essentials analog watch  - for men, boys",1099.0,399.0,"rorlig rr-030 essentials analog watch  - for men, boys",1085,472
130,wrangler regular fit men's jeans,3295.0,1812.0,wrangler regular fit men's jeans,3279,2305
131,steppings trendy boots,3499.0,2274.0,steppings trendy boots,3484,2367
132,"disney dw100230 digital watch  - for boys, girls",350.0,350.0,"disney dw100230 digital watch  - for boys, girls",342,386
133,salt n pepper 13-167 marsha red boots,3695.0,2771.0,salt n pepper 13-167 marsha red boots,3692,3441
134,"cartier w6701005 analog watch  - for boys, men",201000.0,201000.0,"cartier w6701005 analog watch  - for boys, men",200990,246928
135,bruno manetti cannelita boots,3399.0,1359.0,bruno manetti cannelita boots,3394,1564
136,stylistry maxis shde6603brwoboot3104 boots,2199.0,1599.0,stylistry maxis shde6603brwoboot3104 boots,2185,1785
137,"lois caron lcs-4032 analog watch  - for boys, men",1200.0,399.0,"lois caron lcs-4032 analog watch  - for boys, men",1181,444
138,"felix y 39 analog watch  - for boys, men",1550.0,525.0,"felix y 39 analog watch  - for boys, men",1536,602
139,kielz boots,2999.0,2399.0,kielz boots,2481,3094
140,kielz ladies boots,2299.0,899.0,kielz ladies boots,2787,1637
141,sakay country leather boots,3999.0,3499.0,sakay country leather boots,3980,3877
142,la briza black boots,2299.0,2069.0,la briza black boots,2282,2385
143,"kool kidz dmk-012-qu02 analog watch  - for girls, boys",375.0,263.0,"kool kidz dmk-012-qu02 analog watch  - for girls, boys",362,324
144,"franck bella fb0128b analog watch  - for men, boys",1199.0,959.0,"franck bella fb0128b analog watch  - for men, boys",1180,1229
145,steppings trendy boots,2199.0,1099.0,steppings trendy boots,3484,2367
146,"kool kidz dmk-003-yl 03 analog watch  - for girls, boys",475.0,333.0,"kool kidz dmk-003-yl 03 analog watch  - for girls, boys",466,368
147,"vizion 8502-6black sports series digital watch  - for boys, girls",1095.0,595.0,"vizion 8502-6black sports series digital watch  - for boys, girls",1083,739
148,vencer stella 7lyt1011 digital watch  - for boys,399.0,144.0,vencer stella 7lyt1011 digital watch  - for boys,381,178
149,la briza mile boots,3999.0,3999.0,la briza mile boots,3998,4701
150,"casela cas-w-13 basic analog watch  - for boys, girls",3999.0,899.0,"casela cas-w-13 basic analog watch  - for boys, girls",3979,1064
151,sneha unique boots,1799.0,899.0,sneha unique boots,1794,1026
152,timer tc_-_690143 analog watch  - for boys,1299.0,549.0,timer tc_-_690143 analog watch  - for boys,1287,707
153,ne regular fit men's jeans,4999.0,1899.0,ne regular fit men's jeans,4988,2180
154,shuz touch boots,2995.0,2995.0,shuz touch boots,1484,1448
155,kielz ladies boots,2499.0,1149.0,kielz ladies boots,2787,1637
156,"colat colat_m08 roman numerals analog watch  - for men, boys",4999.0,1049.0,"colat colat_m08 roman numerals analog watch  - for men, boys",4991,1287
157,kielz ladies boots,2299.0,899.0,kielz ladies boots,2787,1637
158,belle gambe boots,3999.0,1695.0,belle gambe boots,3482,2301
159,"titan 1639sl03 analog watch  - for boys, men",1795.0,1695.0,"titan 1639sl03 analog watch  - for boys, men",1783,2169
160,selfie boots,1200.0,599.0,selfie boots,1191,773
161,clincher semonday boots,3499.0,3499.0,clincher semonday boots,3497,4157
162,"srushti art jewelry megnet_led_sport_blackred1 digital watch  - for men, women, boys, girls",799.0,200.0,"srushti art jewelry megnet_led_sport_blackred1 digital watch  - for men, women, boys, girls",790,233
163,kielz ladies boots,2499.0,1149.0,kielz ladies boots,2787,1637
164,"q&q vq13-008 analog watch  - for girls, boys",585.0,526.0,"q&q vq13-008 analog watch  - for girls, boys",573,620
165,belle gambe boots,3499.0,1765.0,belle gambe boots,3482,2301
166,"escort e-1700-906_blk analog watch  - for men, boys",1925.0,1829.0,"escort e-1700-906_blk analog watch  - for men, boys",1919,2269
167,roxy boots,19995.0,9997.0,roxy boots,19979,12156
168,lee men's jeans,2699.0,1619.0,lee men's jeans,2681,2089
169,bruno manetti 676 boots,2999.0,1199.0,bruno manetti 676 boots,2979,1482
170,"estilo 1056 analog watch  - for boys, men",1299.0,299.0,"estilo 1056 analog watch  - for boys, men",1295,371
171,jack klein blackled digital watch  - for boys,999.0,150.0,jack klein blackled digital watch  - for boys,994,187
172,"north moon iw-005-fk silicone ion digital watch  - for boys, girls, women",235.0,150.0,"north moon iw-005-fk silicone ion digital watch  - for boys, girls, women",220,176
173,shuz touch boots,1499.0,1270.0,shuz touch boots,1484,1448
174,foot candy boots,2899.0,1699.0,foot candy boots,2887,2095
175,credos boots,4499.0,3499.0,credos boots,4496,4097
176,"rich club apple shaped led digital watch  - for boys, girls",999.0,149.0,"rich club apple shaped led digital watch  - for boys, girls",996,164
177,"skmei ad1031-black formal analog-digital watch  - for men, boys",2499.0,1699.0,"skmei ad1031-black formal analog-digital watch  - for men, boys",2489,2146
178,kielz ladies boots,2799.0,1299.0,kielz ladies boots,2787,1637
179,"kms ironman_look_led_black11 digital watch  - for men, women, girls, boys",1395.0,350.0,"kms ironman_look_led_black11 digital watch  - for men, women, girls, boys",1378,392
180,anand archies boots,499.0,499.0,anand archies boots,492,575
181,magnum footwear lifestyle boots,2999.0,1899.0,magnum footwear lifestyle boots,2992,2185
182,steppings trendy boots,2199.0,1099.0,steppings trendy boots,3484,2367
183,swag 670038 analog watch  - for boys,2499.0,899.0,swag 670038 analog watch  - for boys,2480,1126
184,bonzer boots,999.0,499.0,bonzer boots,987,582
185,roadster skinny fit fit men's jeans,2499.0,1249.0,roadster skinny fit fit men's jeans,2495,1414
186,selfie black denim boots,1000.0,499.0,selfie black denim boots,990,638
187,steppings boots boots,3199.0,2559.0,steppings boots boots,3193,2835
188,"q&q lla2-213 digital watch  - for boys, girls",645.0,645.0,"q&q lla2-213 digital watch  - for boys, girls",626,822
189,belle gambe winter boots,3499.0,1695.0,belle gambe winter boots,3498,1943
190,"hala red in black trendy digital digital watch  - for boys, girls, men",399.0,159.0,"hala red in black trendy digital digital watch  - for boys, girls, men",398,180
191,kielz ladies boots,2499.0,1249.0,kielz ladies boots,2787,1637
192,kielz boots,2499.0,1999.0,kielz boots,2481,3094
193,"franck bella fb74c analog watch  - for boys, men",1299.0,780.0,"franck bella fb74c analog watch  - for boys, men",1295,931
194,carlton london boots,2295.0,2295.0,carlton london boots,2279,2871
195,ridas apl_led_black apple shape digital watch  - for boys,349.0,249.0,ridas apl_led_black apple shape digital watch  - for boys,331,298
196,shuz touch boots,4495.0,4495.0,shuz touch boots,1484,1448
197,la briza andria boots,2099.0,2099.0,la briza andria boots,2085,2641
198,"skmei 1070blk sports analog-digital watch  - for men, boys",2345.0,1179.0,"skmei 1070blk sports analog-digital watch  - for men, boys",2343,1456
199,kielz ladies boots,1899.0,999.0,kielz ladies boots,2787,1637
200,carlton london boots,1995.0,1995.0,carlton london boots,2279,2871
201,"skmei ad1057-dark-orange sports analog-digital watch  - for men, boys",1799.0,1199.0,"skmei ad1057-dark-orange sports analog-digital watch  - for men, boys",1784,1327
202,urban country ladies boots,3299.0,1650.0,urban country ladies boots,3296,2015
203,now sp-ethnic analog watch  - for boys,600.0,600.0,now sp-ethnic analog watch  - for boys,586,767
204,"disney msfr190-01b analog watch  - for boys, girls",1350.0,1350.0,"disney msfr190-01b analog watch  - for boys, girls",1344,1597
205,get glamr designer yuvu boots,3499.0,2799.0,get glamr designer yuvu boots,3483,3565
206,kielz boots,2499.0,2399.0,kielz boots,2481,3094
207,belle gambe boots,3999.0,1765.0,belle gambe boots,3482,2301
208,remson india boots,3999.0,1999.0,remson india boots,3982,2284
209,steppings trendy boots,1599.0,639.0,steppings trendy boots,3484,2367
210,jacques farel kwd2324 analog watch  - for boys,2850.0,1567.0,jacques farel kwd2324 analog watch  - for boys,2838,1748
211,rialto boots,2795.0,1800.0,rialto boots,2786,2165
212,salt n pepper 13-455 pisa black boots,4995.0,3746.0,salt n pepper 13-455 pisa black boots,4993,4661
213,"oxter chrono blue italia analog watch  - for men, boys",999.0,299.0,"oxter chrono blue italia analog watch  - for men, boys",988,354
214,klaur melbourne boots,3499.0,1574.0,klaur melbourne boots,3480,1868
215,"positif pfbk612 analog watch  - for men, boys",1100.0,800.0,"positif pfbk612 analog watch  - for men, boys",1086,978
216,selfie boots,1200.0,599.0,selfie boots,1191,773
217,"d'signer 688rgm _brn analog watch  - for men, boys",8995.0,8545.0,"d'signer 688rgm _brn analog watch  - for men, boys",8975,10759
218,salt n pepper 13-019 femme taupe boots boots,4195.0,2050.0,salt n pepper 13-019 femme taupe boots boots,4181,2524
219,"franck bella fb127a analog watch  - for boys, men",1250.0,999.0,"franck bella fb127a analog watch  - for boys, men",1232,1292
220,get glamr stylish boots,1999.0,499.0,get glamr stylish boots,1981,631
221,"felix 3541 w-s metal analog watch  - for boys, girls",1350.0,555.0,"felix 3541 w-s metal analog watch  - for boys, girls",1340,719
222,steppings trendy boots,1799.0,719.0,steppings trendy boots,3484,2367
223,steppings boots boots,3199.0,2559.0,steppings boots boots,3193,2835
224,"skmei dg0939-red sports digital watch  - for men, boys",1499.0,999.0,"skmei dg0939-red sports digital watch  - for men, boys",1488,1206
225,do bhai boots,799.0,699.0,do bhai boots,798,904
226,"vizion 8502-4blue sports series digital watch  - for boys, girls",1095.0,595.0,"vizion 8502-4blue sports series digital watch  - for boys, girls",1076,736
227,steppings boots boots,3199.0,2559.0,steppings boots boots,3193,2835
228,steppings trendy boots,3499.0,2099.0,steppings trendy boots,3484,2367
229,sam stefy boots,1050.0,449.0,sam stefy boots,1041,565
230,ten ten women's tan mid length boots boots,4495.0,1895.0,ten ten women's tan mid length boots boots,4491,2440
231,remson india boots,3999.0,1999.0,remson india boots,3982,2284
232,get glamr dazzle boots,3499.0,499.0,get glamr dazzle boots,3482,584
233,"jack klein goldjack analog watch  - for boys, men",1999.0,262.0,"jack klein goldjack analog watch  - for boys, men",1989,296
234,dearfoams boots,1820.0,1820.0,dearfoams boots,1812,2278
235,"fastrack 38015pl01 analog watch  - for men, boys",2495.0,2495.0,"fastrack 38015pl01 analog watch  - for men, boys",2494,2798
236,kielz ladies boots,2799.0,1299.0,kielz ladies boots,2787,1637
237,"a avon pk_504 analog watch  - for men, boys",2499.0,1249.0,"a avon pk_504 analog watch  - for men, boys",2498,1545
238,kielz ladies boots,1999.0,999.0,kielz ladies boots,2787,1637
239,"franck bella fb0122dd analog watch  - for men, boys",1299.0,1039.0,"franck bella fb0122dd analog watch  - for men, boys",1288,1262
240,catwalk boots,2095.0,999.0,catwalk boots,2079,1256
241,rialto boots,3295.0,2395.0,rialto boots,2786,2165
242,salt n pepper 12-298 taupe boots,4395.0,2150.0,salt n pepper 12-298 taupe boots,4388,2443
243,"alfajr wq18 qibla compass digital watch  - for men, boys, girls",8995.0,7495.0,"alfajr wq18 qibla compass digital watch  - for men, boys, girls",8977,8511
244,magnum footwear lifestyle boots,5999.0,3199.0,magnum footwear lifestyle boots,2992,2185
245,steppings trendy boots,3599.0,2519.0,steppings trendy boots,3484,2367
246,"sale funda sfgfu694 analog watch  - for boys, men",2499.0,599.0,"sale funda sfgfu694 analog watch  - for boys, men",2484,728
247,steppings trendy boots,2199.0,1099.0,steppings trendy boots,3484,2367
248,"britex bt2050+bt3101 he & she analog watch  - for couple, women, men, boys, girls",1990.0,699.0,"britex bt2050+bt3101 he & she analog watch  - for couple, women, men, boys, girls",1976,819
249,tsg kelz boots,2650.0,2650.0,tsg kelz boots,2646,3402
250,"3wish cur-blue silver blue 8023 analog watch  - for boys, men",2999.0,995.0,"3wish cur-blue silver blue 8023 analog watch  - for boys, men",2994,1131
251,j.d.h. 111-222 boots,1500.0,599.0,j.d.h. 111-222 boots,1495,767
252,"disney 98189 analog watch  - for boys, girls",1800.0,900.0,"disney 98189 analog watch  - for boys, girls",1794,1032
253,get glamr designer snowra boots,2799.0,2239.0,get glamr designer snowra boots,2793,2605
254,"lenco dcompass2010 quazi analog-digital watch  - for men, boys",1999.0,849.0,"lenco dcompass2010 quazi analog-digital watch  - for men, boys",1997,1102
255,pinza black christmas boots,3350.0,1900.0,pinza black christmas boots,3335,2334
256,kielz ladies boots,2799.0,1299.0,kielz ladies boots,2787,1637
257,salt n pepper 13-552 rebacca almond boots,3495.0,2621.0,salt n pepper 13-552 rebacca almond boots,3482,2941
258,"rockstar r_056 chrono analog watch  - for men, boys",1299.0,299.0,"rockstar r_056 chrono analog watch  - for men, boys",1287,333
259,disney dw100405 digital watch  - for boys,1495.0,1345.0,disney dw100405 digital watch  - for boys,1477,1641
260,selfie boots,1200.0,599.0,selfie boots,1191,773
261,"vizion 8502-7purple sports series digital watch  - for boys, girls",1095.0,595.0,"vizion 8502-7purple sports series digital watch  - for boys, girls",1075,701
262,belle gambe boots,3499.0,1795.0,belle gambe boots,3482,2301
263,"disney lp-1008 (yellow) analog watch  - for boys, girls",795.0,795.0,"disney lp-1008 (yellow) analog watch  - for boys, girls",784,995
264,"elantra s 10 analog watch  - for boys, men",2150.0,950.0,"elantra s 10 analog watch  - for boys, men",2136,1094
265,willy winkies black boots,1499.0,999.0,willy winkies black boots,1484,1117
266,"marvel dw100243 digital watch  - for boys, girls",299.0,299.0,"marvel dw100243 digital watch  - for boys, girls",282,348
267,djh boots,999.0,499.0,djh boots,980,578
268,"franck bella fb123d analog watch  - for men, boys",1645.0,1316.0,"franck bella fb123d analog watch  - for men, boys",1636,1543
269,get glamr stylish boots,1999.0,499.0,get glamr stylish boots,1981,631
270,"skmei dg1010-black-gold sports digital watch  - for men, boys, women, girls",1299.0,899.0,"skmei dg1010-black-gold sports digital watch  - for men, boys, women, girls",1286,1068
271,magnum footwear lifestyle boots,5999.0,3599.0,magnum footwear lifestyle boots,2992,2185
272,pinza blue cowboy boots,3250.0,1800.0,pinza blue cowboy boots,3241,2105
273,magnum footwear lifestyle boots,3599.0,2399.0,magnum footwear lifestyle boots,2992,2185
274,steppings trendy boots,2199.0,1099.0,steppings trendy boots,3484,2367
275,"eleganzza denim denim analog watch  - for men, women, boys, girls, couple",1299.0,499.0,"eleganzza denim denim analog watch  - for men, women, boys, girls, couple",1298,648
276,catbird boots,1399.0,999.0,catbird boots,1385,1175
277,bruno manetti 664 boots,2999.0,1199.0,bruno manetti 664 boots,2998,1485
278,"lenco bdblue tango analog watch  - for men, boys",1499.0,599.0,"lenco bdblue tango analog watch  - for men, boys",1480,682
279,get glamr designer kuyal boots,2799.0,2239.0,get glamr designer kuyal boots,2797,2714
280,"zoop c4040pp03 digital watch  - for boys, girls",750.0,750.0,"zoop c4040pp03 digital watch  - for boys, girls",745,905
281,"shoppingekart ds0222 rewin pack of 3 digital watch  - for boys, girls, couple, men",2399.0,479.0,"shoppingekart ds0222 rewin pack of 3 digital watch  - for boys, girls, couple, men",2381,535
282,stylistry maxis sa3228-25relong1712 boots,2299.0,1599.0,stylistry maxis sa3228-25relong1712 boots,2294,2031
283,steppings trendy boots,1799.0,719.0,steppings trendy boots,3484,2367
284,salt n pepper 14-475 dorthea almond boots boots,4695.0,3521.0,salt n pepper 14-475 dorthea almond boots boots,4684,4359
